Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Lao People's Democratic Republic,Percent,20.2
2015,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Domestic revenue,Lao People's Democratic Republic,Percent,16.3
2015,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Grants,Lao People's Democratic Republic,Percent,3.9
2016,Normal value,Units,Not Available,A,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Lao People's Democratic Republic,Percent,16.4
2016,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Domestic revenue,Lao People's Democratic Republic,Percent,15.0
2016,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Grants,Lao People's Democratic Republic,Percent,1.4
2017,Normal value,Units,Not Available,A,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Lao People's Democratic Republic,Percent,16.3
2017,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Domestic revenue,Lao People's Democratic Republic,Percent,14.6
2017,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Grants,Lao People's Democratic Republic,Percent,1.7
2018,Normal value,Units,Not Available,A,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Lao People's Democratic Republic,Percent,16.2
2018,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Domestic revenue,Lao People's Democratic Republic,Percent,14.3
2018,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Grants,Lao People's Democratic Republic,Percent,1.9
2019,Normal value,Units,Not Available,A,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Lao People's Democratic Republic,Percent,15.3
2019,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Domestic revenue,Lao People's Democratic Republic,Percent,13.6
2019,Normal value,Units,Not Available,A,Annual,National,Total government revenueas a percentage of GDP_Grants,Lao People's Democratic Republic,Percent,1.7
