Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
1993,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,46.0
1998,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,39.0
2003,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,33.5
2008,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,27.6
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,24.6
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,,Percent,18.3
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,Urban,Percent,7.9
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,Urban,Percent,7.0
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,Rural,Percent,31.4
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,,Rural,Percent,23.8
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,Male,,,Percent,24.7
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,Male,,,Percent,18.5
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,Female,,,Percent,24.6
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,Female,,,Percent,18.2
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,under 15 years old,,Percent,32.6
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,15 to 24 years old,,Percent,22.7
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,55 to 64 years old,,Percent,18.0
2013,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,65 years old and over,,Percent,22.1
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,under 15 years old,,Percent,24.3
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,15 to 24 years old,,Percent,19.7
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,55 to 64 years old,,Percent,12.4
2018,Normal value,Units,Not Available,"Lao Statistics Bureau, Survey-(LECS), https://www.lsb.gov.la/",Annual,National,Proportion of population living below the national poverty line [1.2.1],Lao People's Democratic Republic,,65 years old and over,,Percent,15.1
