Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2010,Normal value,Units,Not Available,A,Annual,National,Proportion of countries that have conducted at least one population and housing census in the last 10 years [17.19.2],Lao People's Democratic Republic,,Number,1
2015,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,,Number,82128
2015,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Male,Number,35930
2015,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Female,Number,46198
2016,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,,Number,61746
2016,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Male,Number,31217
2016,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Female,Number,30529
2017,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,,Number,61416
2017,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Male,Number,30180
2017,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Female,Number,31236
2018,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,,Number,70732
2018,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Male,Number,35324
2018,Normal value,Units,Not Available,A,Annual,National,Number of birth registration recorded,Lao People's Democratic Republic,Female,Number,35408
