Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,,Number,14042
2015,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Male,Number,5637
2015,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Female,Number,8405
2016,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,,Number,17157
2016,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Male,Number,7339
2016,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Female,Number,9818
2017,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,,Number,15646
2017,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Male,Number,6719
2017,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Female,Number,8927
2018,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,,Number,19238
2018,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Male,Number,8173
2018,Normal value,Units,Not Available,A,Annual,National,Number of death registration recorded,Lao People's Democratic Republic,Female,Number,11065
