Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Economic activity,UNIT_MEASURE,Value
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,"Agriculture, forestry and fishing",Local currency,5208
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,"Agriculture, forestry and fishing",Local currency,2005
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,"Agriculture, forestry and fishing",Local currency,3203
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Industries,Local currency,5859
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Industries,Local currency,3592
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Industries,Local currency,2267
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,Services,Local currency,11979
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,Services,Local currency,3929
2015,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,Services,Local currency,8050
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,,"Agriculture, forestry and fishing",Local currency,5729
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Male,"Agriculture, forestry and fishing",Local currency,2206
2016,Normal value,Units,Not Available,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",Annual,National,Average hourly earnings [8.5.1],Lao People's Democratic Republic,Female,"Agriculture, forestry and fishing",Local currency,3523
