Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.233
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.434
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.032
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.299
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.567
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.073
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.312
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.366
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.263
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.212
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.253
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.172
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.182
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.259
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.103
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,,PT,0.182
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,M,PT,0.559
2020,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,_L_LA_180102_01,LA,F,PT,0.081
