Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,,NUMBER,66500
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,M,NUMBER,38335
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,F,NUMBER,28165
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,,NUMBER,24301
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,M,NUMBER,11300
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,F,NUMBER,13001
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,,NUMBER,262499
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,M,NUMBER,150780
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,F,NUMBER,111719
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,,NUMBER,649493
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,M,NUMBER,391373
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,F,NUMBER,258120
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,,NUMBER,767771
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,M,NUMBER,714356
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_AFFCT,LA,F,NUMBER,53415
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MORT,LA,,NUMBER,7
2016,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MORT,LA,,NUMBER,5
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MORT,LA,,NUMBER,10
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MORT,LA,,NUMBER,64
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MORT,LA,,NUMBER,27
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_IJILN,LA,,NUMBER,26
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_IJILN,LA,,NUMBER,2
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_IJILN,LA,,NUMBER,16
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MISS,LA,,NUMBER,26
2019,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_MISS,LA,,NUMBER,7
2015,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_PDYN,LA,,NUMBER,92
2017,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_PDYN,LA,,NUMBER,56
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_PDYN,LA,,NUMBER,3717
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_PDYN,LA,M,NUMBER,1915
2018,A,0,_X,"Ministry of Labor and Social Welfare, http://www.molsw.gov.la/",A,N,VC_DSR_PDYN,LA,F,NUMBER,1802
