Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,_X,A,A,N,GR_G14_GDP,LA,PT,20.2
2015,A,0,_X,A,A,N,_L_LA_170101_01,LA,PT,16.3
2015,A,0,_X,A,A,N,_L_LA_170101_02,LA,PT,3.9
2016,A,0,_X,A,A,N,GR_G14_GDP,LA,PT,16.4
2016,A,0,_X,A,A,N,_L_LA_170101_01,LA,PT,15.0
2016,A,0,_X,A,A,N,_L_LA_170101_02,LA,PT,1.4
2017,A,0,_X,A,A,N,GR_G14_GDP,LA,PT,16.3
2017,A,0,_X,A,A,N,_L_LA_170101_01,LA,PT,14.6
2017,A,0,_X,A,A,N,_L_LA_170101_02,LA,PT,1.7
2018,A,0,_X,A,A,N,GR_G14_GDP,LA,PT,16.2
2018,A,0,_X,A,A,N,_L_LA_170101_01,LA,PT,14.3
2018,A,0,_X,A,A,N,_L_LA_170101_02,LA,PT,1.9
2019,A,0,_X,A,A,N,GR_G14_GDP,LA,PT,15.3
2019,A,0,_X,A,A,N,_L_LA_170101_01,LA,PT,13.6
2019,A,0,_X,A,A,N,_L_LA_170101_02,LA,PT,1.7
