Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2010,A,0,_X,A,A,N,SG_REG_CENSUS,LA,,NUMBER,1
2015,A,0,_X,A,A,N,_L_LA_171902_02,LA,,NUMBER,82128
2015,A,0,_X,A,A,N,_L_LA_171902_02,LA,M,NUMBER,35930
2015,A,0,_X,A,A,N,_L_LA_171902_02,LA,F,NUMBER,46198
2016,A,0,_X,A,A,N,_L_LA_171902_02,LA,,NUMBER,61746
2016,A,0,_X,A,A,N,_L_LA_171902_02,LA,M,NUMBER,31217
2016,A,0,_X,A,A,N,_L_LA_171902_02,LA,F,NUMBER,30529
2017,A,0,_X,A,A,N,_L_LA_171902_02,LA,,NUMBER,61416
2017,A,0,_X,A,A,N,_L_LA_171902_02,LA,M,NUMBER,30180
2017,A,0,_X,A,A,N,_L_LA_171902_02,LA,F,NUMBER,31236
2018,A,0,_X,A,A,N,_L_LA_171902_02,LA,,NUMBER,70732
2018,A,0,_X,A,A,N,_L_LA_171902_02,LA,M,NUMBER,35324
2018,A,0,_X,A,A,N,_L_LA_171902_02,LA,F,NUMBER,35408
